USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
HOG,D2022265HOG09,,0,"ANGLIN, MACK",,07/05/00,M5,,,,,,,,,,683084,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
PEC,D2023744PEC30,,0,"ANKENEY, ELI",L,01/10/01,M4,,,,,,,,,,690716,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRB,D2024745BRB27,,8,"ANTHONY, KEATON",R,06/24/01,M3,,,,,,,,,,805704,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
SL1,D2023045SL102,,8,"ANTHONY, ROMAN",L,05/13/04,O,," $740,000 ",,2.70,,,270,BOA 01 [01],50.00,701350,KEEP,," $740,000 ",,284.00,8,2.70,,,,,,,
OSC,D2022392OSC14,,8,"ANTICO, MIKE",L,02/16/98,M5,,,,,,,,,,690443,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
KC1,D2025106KC104,,4,"ANTONACCI, SAM",L/R,02/06/03,M2,,,,,,,,,,803011,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
NYG,D2015350WBR12,,1,"ANTONE, TEJAY",R,12/05/93,A4,," $740,000 ",0.00,,,,,,,622088,KEEP,," $740,000 ",,0.00,1,0.00,,,,,,,
GLL,D2024656TUT23,,0,"ANTONIO, RAYVEN",R,03/02/06,M3,,,,,,,,ATN HM,0.00,810982,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
KEC,D2023127KEC05,,8,"ANTUNEZ, WUILFREDO",,05/16/02,M4,,,,,,,,CLA 27,4.40,686404,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
PEC,D2022250PEC09,,8,"APONTE, YHOANGEL",R,02/12/04,M5,,,,,,,,,,699082,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BBS,D2025380BBS13,,2,"APPEL, JACKSON",B/R,08/31/01,M2,,,,,,,,,,815096,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
KEC,D2025634KEC22,,0,"AQUINO, CESAR",R/R,02/27/05,M2,,,,,,,,,,823714,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRM,D2023356BRM12,,0,"AQUINO, PATRICIO",,05/01/03,M4,,,,,,,,,,699223,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2022095SRC04,40,3,"ARANDA, JONATHAN",L,05/23/98,O1,," $740,000 ",0.40,2.50,,,389,,,666018,KEEP,40," $740,000 ",,408.00,3,2.50,,,,,,,
PEC,D2025438PEC15,,8,"ARCHER, NATHAN",L/R,03/14/03,M2,,,,,,,,,,814453,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BRM,D2025768BRM38,,8,"ARCHILA, PASCUAL",L/L,01/23/07,M2,,,,,,,,,,821413,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2012113ALE03,,6,"ARCIA, ORLANDO",R,08/04/94,UFA,2024," $740,000 ",0.80,-0.90,,,213,,,606115,,,,,224.00,6,-0.90,,,,,,,
MOE,D2023364CHD13,,2,"ARDOIN, SILAS",R,09/19/00,M4,,,,,,,,,,686976,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
HAH,D2023185SHC07,,5,"AREINAMO, JADHER",,11/28/03,M4,,,,,,,,MLN 25,6.69,699130,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
WBR,D2025283WBR10,,6,"AREIZAGA, ADRIAN",R/R,05/17/06,M2,,,,,,,,,,813913,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
MUN,D2010BAM01,40,5,"ARENADO, NOLAN",R,04/16/91,FA27,2023," $30,600,000 ",3.10,0.90,,,421,,,571448,KEEP,40," $30,600,000 ",,442.00,5,0.90,,,,,,,
LVA,D2025361LVA13,,0,"ARESTIGUETA, LUIS",R/R,10/14/05,M2,,,,,,,,ATN 30,0.87,808244,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
LVA,D2022372JAS13,RELEASE,6,"AREVALO, ANGEL",R,10/02/03,M5,,,,,,,,,,699002,RELEASE,, $-   ,,0.00,6,0.00,,,,,,,
CHH,D2025266CHH09,,8,"ARIAS, ANDRES",R/R,10/06/06,M2,,,,,,,,,,815914,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2019430BOB15,,3,"ARIAS, ANDRY",,06/19/00,MR5,,,,,,,,,,678357,,,,,0.00,3,0.00,,,,,,,
KC1,D2024284KC110,RELEASE,0,"ARIAS, CHALNIEL",R,09/11/03,M3,,,,,,,,,,703921,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
CHH,D2025706CHH27,,2,"ARIAS, CRUZMEL",R/R,02/20/04,M2,,,,,,,,,,805466,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
KC1,D2024152LVA06,,6,"ARIAS, FRANKLIN",R,11/19/05,M3,,,,,,,,BOA 04 [76],39.50,808265,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2022483SRC17,,4,"ARIAS, GABRIEL",R,10/13/03,M4,,,,,,,,,,699087,,,,,0.00,4,0.00,,,,,,,
INC,D2018024BAB01,40,5,"ARIAS, GABRIEL ",R,02/27/00,O2,," $740,000 ",-0.20,1.10,,,454,,,672356,KEEP,40," $740,000 ",,477.00,5,1.10,,,,,,,
SAG,D2025153SAG06,,8,"ARIAS, JALVIN",R/R,10/01/06,M2,,,,,,,,,,815003,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
PEC,D2023191PEC07,,6,"ARIAS, LEANDRO",,02/05/05,M4,,,,,,,,BAA 24,7.40,703202,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
CHH,D2020483JAS17,,0,"ARIAS, LUARBERT",,12/12/00,MR5,,,,-0.10,0,11,,,,678215,KEEP,, $-   ,,0.00,0,-0.10,,,,,,,
PEC,D2024104KC104,,0,"ARIAS, MICHAEL",R,11/15/01,M3,,,,,,,,NYA HM,0.00,683522,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SH1,D2024032BAB1S,,8,"ARIAS, RAYNER",R,04/29/06,M3,,,,,,,,SFN 06,20.71,806976,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BBS,D2025110BBS04,,8,"ARIAS, ROBERT",L/L,09/13/06,M2,,,,,,,,CLA HM,0.00,815897,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
SH1,D2023034BAB1S,,6,"ARIAS, RODERICK",,09/09/04,M4,,,,,,,,NYA 08,21.03,703149,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
INC,D2025199INC07,,8,"ARIAS, VICTOR",L/L,08/24/03,M2,,,,,,,,TOA 25,5.14,692478,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MER,D2025234MER08,,2,"ARMAS, ARIEL",R/R,11/29/02,M2,,,,,,,,,,813666,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2022687KC126,,8,"ARMAS, GUSTAVO",R,09/20/03,M5,,,,,,,,,,700297,,,,,0.00,8,0.00,,,,,,,
BAM,D2022693BAM26,,0,"ARMBRUESTER, JUSTIN",R,10/06/03,M5,,,,,,,,,,701859,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MOE,D2022406SSC14,RELEASE,0,"ARMENTA, ERUBIEL",L,03/11/00,M5,,,,,,,,,,692068,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
CHH,D2025296CHH10,,0,"ARMSTRONG, SAM",R/R,09/26/00,M2,,,,,,,,CHN HM,0.00,814098,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2012406BAM13,,1,"ARMSTRONG, SHAWN",R,09/11/90,UFA,," $740,000 ",0.70,1.40,2,78,,,,542888,,,,,0.00,1,1.40,,,,,,,
OSC,D2022332OSC12,RELEASE,3,"ARNAEZ, JEAN",R,08/22/02,M5,,,,,,,,,,692484,RELEASE,, $-   ,,0.00,3,0.00,,,,,,,
SL1,D2023598SL121,,0,"ARNOLD, CHANDLER",R,11/19/99,M4,,,,,,,,,,688837,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
GLL,D2018028GLL1S,40,8,"AROZARENA, RANDY ",R,02/28/95,FA29,," $7,400,000 ",1.90,2.90,,,644,,,668227,KEEP,40," $7,400,000 ",,676.00,8,2.90,,,,,,,
MUN,D2023219MUN08,,6,"ARQUETTE, AIVA",R,10/17/03,M4,,,,,,,,,,804109,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
ALC,D2016275ALC10,40,3,"ARRAEZ, LUIS",L,04/09/97,A6,," $8,573,600 ",1.10,0.90,,,651,,,650333,KEEP,40," $8,573,600 ",,684.00,3,0.90,,,,,,,
TUT,D2022362OSC13,40,0,"ARRIGHETTI, SPENCER",R,01/02/01,O1,," $740,000 ",1.60,-0.10,7,37,,,,681293,KEEP,40," $740,000 ",,0.00,0,-0.10,,,,,,,
GLL,D2025132GLL05,,0,"ARRONDE, FELIX",R/R,04/25/03,M2,,,,,,,,KCA 20,9.74,702373,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MOE,D2022103JAS04,,6,"ARROYO, EDWIN",B,08/25/03,M5,,,,,,,,CIN 04,27.39,695490,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
HAH,D2023056HOG02,,6,"ARROYO, MICHAEL",,11/03/04,M4,,,,,,,,SEA 05 [75],39.64,703197,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
KC1,D2022071KC103,,6,"ARTEAGA, AEVERSON",R,03/16/03,M5,,,,,,,,SFN 13,14.91,692348,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SAG,D2025213SAG08,,8,"ASENCIO, VLADIMIR",R/R,12/13/06,M2,,,,,,,,,,815918,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
HIB,D2023564HIB19,,6,"ASENCIO, YOSANDER",,06/01/02,M4,,,,,,,,,,800155,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
MOE,D2019109PBW04,40,1,"ASHBY, AARON",L,05/24/98,O3,," $2,100,969 ",0.60,1.20,1,70,,,,676879,KEEP,40," $2,100,969 ",,0.00,1,1.20,,,,,,,
BAM,D2019086BAM03,40,0,"ASHCRAFT, BRAXTON",R,10/05/99,O,," $740,000 ",,1.60,8,73,,PIN 05,25.26,677952,KEEP,40," $740,000 ",,0.00,0,1.60,,,,,,,
WBR,D2017191NYG07,40,1,"ASHCRAFT, GRAHAM",R,02/11/98,O3,," $2,955,689 ",0.60,1.60,0,69,,,,668933,KEEP,40," $2,955,689 ",,0.00,1,1.60,,,,,,,
BRB,D2025602BRB21,,0,"ASHMAN, MICAH",L/L,08/22/02,M2,,,,,,,,,,809840,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
WBR,D2022624WBR22,,0,"ASKEW, KEYSHAWN",L,09/18/03,M5,,,,,,,,,,681094,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
WBR,D2017411NEE14,40,0,"ASSAD, JAVIER",R,07/30/97,O3,," $740,000 ",1.00,0.30,7,39,,,,665871,KEEP,40," $740,000 ",,0.00,0,0.30,,,,,,,
MER,D2020468MER16,,8,"AUER, MASON",R,03/01/01,MR5,,,,,,,,,,687020,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
INC,D2022383INC13,,4,"AUERBACH, BRETT",R,08/27/98,M5,,,,,,,,,,682266,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
FM2,D2025287FM210,,0,"AUGER, BROOKS",R/R,10/20/01,M2,,,,,,,,LAN HM,0.00,824624,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,,,8,"AVANS, DREW",L,06/13/96,UFA,," $740,000 ",,-0.30,,,18,,,682183,,,,,19.00,8,-0.30,,,,,,,
HOG,D2024581HOG20,,0,"AVANT, COREY",R,11/06/01,M3,,,,,,,,,,813895,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
OSC,D2023278OSC10,,0,"AVILA, LUINDER",,08/21/01,M4,,,,0.20,0,15,,KCA 15,14.17,679883,KEEP,, $-   ,,0.00,0,0.20,,,,,,,
INC,D2023223INC08,,1,"AVILA, NICK",,07/25/97,M4,,,0.00,,,,,,,687014,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
RFS,D2016467BGK16,RELEASE,1,"AVILA, PEDRO",R,01/14/97,O2,," $740,000 ",0.20,,,,,,,658648,RELEASE,, $-   ,,0.00,1,0.00,,,,,,,
MUN,D2022425MUN15,,8,"AVINA, JACE",,06/06/03,M5,,,,,,,,,,701778,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
NEE,D2025448NEE15,,0,"AVITIA, DANIEL",R/R,05/16/03,M2,,,,,,,,,,701220,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
WBR,D2022601WBR21,,0,"AYALA, ALEXANDER",L,09/18/03,M5,,,,,,,,,,694809,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2023609TUT21,,5,"AYBAR, NICANDRO",,09/08/04,M4,,,,,,,,,,800384,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
PEC,D2025468PEC16,,2,"AYERS, OWEN",B/R,06/07/01,M2,,,,,,,,,,689196,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
NYG,D2016166SPI06,,8,"AZOCAR, JOSE",R,05/11/96,O3,," $740,000 ",-0.10,-0.10,,,20,,,640492,KEEP,," $740,000 ",,21.00,8,-0.10,,,,,,,
FA,D2019396PSD14,,8,"BACA, TYLER",,05/22/00,MR5,,,,,,,,,,681427,,,,,0.00,8,0.00,,,,,,,
FA,D2017183PEC07,,1,"BACHAR, LAKE",R,06/03/95,UFA,," $740,000 ",0.00,0.10,1,75,,,,669199,,,,,0.00,1,0.10,,,,,,,
MER,D2022018MER01,40,1,"BACHMAN, SAM",R,09/30/99,O2,," $740,000 ",,0.20,0,21,,LAA 24,5.60,696147,KEEP,40," $740,000 ",,0.00,1,0.20,,,,,,,
KC1,D2017104KC104,,8,"BADDOO, AKIL",L,08/16/98,A4,," $740,000 ",-0.30,0.00,,,18,,,668731,KEEP,," $740,000 ",,19.00,8,0.00,,,,,,,
FA,D2016035LV51S,,8,"BADER, HARRISON",R,06/03/94,FA [LVA],2026," $19,965,539 ",1.30,3.20,,,470,,,664056,,,,,494.00,8,3.20,,,,,,,
GLL,D2019166GLL06,40,8,"BAE, JI-HWAN",L,07/26/99,O2,," $740,000 ",-0.70,-0.20,,,21,,,678225,KEEP,40," $740,000 ",,22.00,8,-0.20,,,,,,,
NYG,D2025158NYG06,,0,"BAEZ, HENRY",0,10/12/02,M2,,,,,,,,SDN 12,16.01,692013,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SL1,D2012008RCQ01,40,6,"BAEZ, JAVIER",R,12/01/92,FA27,," $17,686,800 ",-0.70,1.40,,,438,,,595879,KEEP,40," $17,686,800 ",,460.00,6,1.40,,,,,,,
NEE,D2023114NEE04,,6,"BAEZ, JESUS",,02/26/05,M4,,,,,,,,NYN 05,27.86,800305,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2016196SPI07,,0,"BAEZ, JOAN",R,12/26/94,MR5,,,,,,,,,,642609,,,,,0.00,0,0.00,,,,,,,
FA,D2021144SIM05,,6,"BAEZ, JOSE",,08/30/02,M4,,,,,,,,,,683399,,,,,0.00,6,0.00,,,,,,,
TUT,D2022039SIM1S,,8,"BAEZ, JOSHUA",R,06/28/03,M5,,,,,,,,,,695491,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
BAM,D2024257BAM09,,6,"BAEZ, JUAN",R,06/27/05,M3,,,,,,,,MLN 27,4.46,800345,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2020412KEC14,,8,"BAEZ, LUIS",,11/23/00,M5,,,,,,,,,,678637,,,,,0.00,8,0.00,,,,,,,
OSC,D2023269HIB09,,8,"BAEZ, LUIS",,01/11/04,M4,,,,,,,,HOA 09,17.91,800232,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
PEC,D2024217PEC08,,6,"BAEZ, MARIO",R,08/25/06,M3,,,,,,,,,,808545,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2018011RFS01,,0,"BAEZ, MICHEL",R,01/21/96,UFA,," $740,000 ",,,,,,,,673258,,,,,0.00,0,0.00,,,,,,,
INC,D2023620LVA22,,2,"BAEZ, NATE",R,05/17/01,M4,,,,,,,,,,686960,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
RFS,D2025235KEC08,,0,"BAGWELL, ETHAN",R/R,02/24/06,M2,,,,,,,,ATN 19,10.46,815626,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2018243RCR09,,0,"BAHR, JASON ",R,02/15/95,MR5,,,,,,,,,,676599,,,,,0.00,0,0.00,,,,,,,
FA,D2020154JAS06,,8,"BAILEY, BENYAMIN",R,09/18/01,MR5,,,,,,,,,,686397,,,,,0.00,8,0.00,,,,,,,
FA,D2017422WT115,,0,"BAILEY, BRANDON",R,10/19/94,MR5,,,,,,,,,,669064,,,,,0.00,0,0.00,,,,,,,
MUN,D2025173MUN06,,3,"BAILEY, MYLES",L/R,07/07/05,M2,,,,,,,,,,815343,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
MUN,D2018327HOG11,40,2,"BAILEY, PATRICK ",B,05/29/99,O2,," $1,480,000 ",4.30,3.20,,,429,,,672275,KEEP,40," $1,480,000 ",,450.00,2,3.20,,,,,,,
FA,D2015532ALE18,,0,"BAIN, JEFF",,03/03/96,MR5,,,,,,,,,,656206,,,,,0.00,0,0.00,,,,,,,
FA,D2022318MER11,,0,"BAIN, MAX",R,09/25/97,M4,,,,,,,,,,694053,,,,,0.00,0,0.00,,,,,,,
OSC,D2025491OSC17,,1,"BAKER, ALEC",R/R,12/04/99,M2,,,,,,,,,,696508,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
FA,D2017413MUN14,,0,"BAKER, ANDREW",L,03/11/98,MR5,,,,,,,,,,668656,,,,,0.00,0,0.00,,,,,,,
FA,FA2023CHD,,1,"BAKER, BRYAN",R,12/02/94,UFA,," $740,000 ",0.10,0.50,0,72,,,,641329,,,,,0.00,1,0.50,,,,,,,
FA,D2017281NYG10,,6,"BAKER, CHRIS",R,11/29/94,MR5,,,,,,,,,,669106,,,,,0.00,6,0.00,,,,,,,
BGK,D2022628BGK22,RELEASE,4,"BAKER, DARREN",L,09/23/03,M5,,,0.20,,,,,,,671117,RELEASE,, $-   ,,0.00,4,0.00,,,,,,,
NEE,D2022660NEE24,,0,"BAKER, DREW",R,09/19/03,M5,,,,,,,,,,687900,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NYG,D2024365NYG13,,8,"BAKER, DRU",R,03/22/00,M3,,,,,,,,,,681333,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2020573RCR20,,1,"BAKER, JAKE",,06/12/98,M5,,,,,,,,,,672473,,,,,0.00,1,0.00,,,,,,,
NYG,D2016031HOG1S,WAIVE,10,"BAKER, LUKEN",R,03/10/97,MR5,," $120,600 ",-0.10,0.00,,,36,,,663609,KEEP,WAIVE, $-   ,,38.00,10,0.00,,,,,,,
HAH,D2022589SHC20,,0,"BAKER, TRENT",R,12/28/98,M5,,,,,,,,,,694536,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
MUN,D2017233MUN08,,1,"BALAZOVIC, JORDAN",R,09/17/98,O2,," $740,000 ",,,,,,,,666364,KEEP,," $740,000 ",,0.00,1,0.00,,,,,,,
INC,D2025611INC21,,1,"BALBONI, THOMAS JR.",L/R,07/06/00,M2,,,,,,,,,,693647,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BRB,D2022131BRM05,,6,"BALCAZAR, LEONARDO",R,06/17/04,M5,,,,,,,,CIN 26,5.07,699114,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2016147BRM05,,6,"BALDOQUIN, ROBERTO",R,05/14/94,MR5,,,,,,,,,,660168,,,,,0.00,6,0.00,,,,,,,
HIB,D2022300HIB10,40,8,"BALDWIN, BROOKS",,08/15/00,O1,," $740,000 ",0.10,-0.20,,,315,CHA 28,3.39,681460,KEEP,40," $740,000 ",,331.00,8,-0.20,,,,,,,
HIB,D2023161PEC06,40,2,"BALDWIN, DRAKE",L,03/28/01,O,," $740,000 ",,3.10,,,425,ATN 01 [48],43.42,686948,KEEP,40," $740,000 ",,446.00,2,3.10,,,,,,,
FA,D2015674LV526,,2,"BALDWIN, ROLDANI",R,03/16/96,MR5,,,,,,,,,,650380,,,,,0.00,2,0.00,,,,,,,
FA,D2020063HIB02,,3,"BALL, BRYCE",L,07/08/98,MR5,,,,,,,,,,668787,,,,,0.00,3,0.00,,,,,,,
FA,"D2014453BRB16
D2020444PBW15",,0,"BALL, MATT",R,03/25/95,MR5,,,,,,,,,,641334,,,,,0.00,0,0.00,,,,,,,
FA,D2014006BGK01,,0,"BALL, TREY",L,06/27/94,MR5,,,,,,,,,,640441,,,,,0.00,0,0.00,,,,,,,
KC1,D2022189KC107,,2,"BALLESTEROS, MOISES",L,11/08/03,M5,,,,0.30,,,60,CHN 04 [66],40.90,694208,KEEP,, $-   ,,63.00,2,0.30,,,,,,,
BRM,D2025726BRM29,,0,"BALZER, BRYAN",L/R,10/27/04,M2,,,,,,,,,,808893,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SL1,D2013586LEL19,40,1,"BANDA, ANTHONY",L,08/10/93,FA26,," $4,462,500 ",0.50,0.10,1,68,,,,607455,KEEP,40," $4,462,500 ",,0.00,1,0.10,,,,,,,
HIB,D2024416HIB14,,8,"BANDURA, SCOTT",L,08/02/01,M3,,,,,,,,,,814154,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MUN,D2019083MUN03,,2,"BANFIELD, WILL",R,11/18/99,MR5,,,,-0.20,,,11,,,677943,KEEP,, $-   ,,12.00,2,-0.20,,,,,,,
BRB,D2024775BRB29,,0,"BANKS, BRETT",R,10/03/01,M3,,,,,,,,,,688781,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2017228WBR08,,8,"BANKS, NICK",L,11/18/94,MR5,,,,,,,,,,641336,,,,,0.00,8,0.00,,,,,,,
FA,FA2023BRB,,1,"BANKS, TANNER",L,10/24/91,UFA,," $740,000 ",1.10,0.80,1,71,,,,621383,,,,,0.00,1,0.80,,,,,,,
FA,D2020181SIM07,,8,"BANNISTER, ZION",B,09/09/01,MR5,,,,,,,,,,691968,,,,,0.00,8,0.00,,,,,,,
FA,D2018084BGK03,,4,"BANNON, RYLAN ",R,04/22/96,UFA,," $740,000 ",,,,,,,,676625,,,,,0.00,4,0.00,,,,,,,
FA,D2018227PEC08,,2,"BANUELOS, DAVID ",R,10/01/96,UFA,," $740,000 ",0.00,0.00,,,1,,,675915,,,,,1.00,2,0.00,,,,,,,
FA,D2024164KC106,,8,"BAPTIST, ANTHONY",L,10/17/05,M3,,,,,,,,,,806989,,,,,0.00,8,0.00,,,,,,,
BRM,D2025718BRM28,,2,"BAQUERA, SEBASTIAN",R/R,01/11/07,M2,,,,,,,,,,802398,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2017722MOR26,,1,"BARAGAR, CALEB",L,04/09/94,UFA,," $740,000 ",,,,,,,,670056,,,,,0.00,1,0.00,,,,,,,
FA,D2017573LV520,,2,"BARASH, MICHAEL",R,10/12/94,M4,,,,,,,,,,669726,,,,,0.00,2,0.00,,,,,,,
BRM,D2020118RFS04,RELEASE,8,"BARBER, COLIN",L,12/04/00,MR5,,,,,,,,,,683145,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
MOE,D2024551MOE19,,0,"BARCLAY, EDGAR",L,05/25/98,M3,,,,,,,,,,687607,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HAH,D2020054BOB02,40,1,"BARCO, HUNTER",L,12/15/00,MR5,," $120,600 ",,0.10,0,3,,PIN 09,21.37,682995,KEEP,40," $120,600 ",,0.00,1,0.10,,,,,,,
FA,D2007GLL01,,1,"BARD, DANIEL",R,06/25/85,UFA,," $740,000 ",,,,,,,,453268,,,,,0.00,1,0.00,,,,,,,
FA,D2023688BAB25,,8,"BARETE, CRISTOPHER",,12/10/01,M2,,,,,,,,,,683539,,,,,0.00,8,0.00,,,,,,,
FA,D2023539NYG19,,0,"BARGALLO, SANDRO",,12/29/01,M3,,,,,,,,,,686488,,,,,0.00,0,0.00,,,,,,,
HOG,D2019383MUN13,40,5,"BARGER, ADDISON",L,11/12/99,O2,," $740,000 ",-0.30,2.20,,,483,,,680718,KEEP,40," $740,000 ",,507.00,5,2.20,,,,,,,
PEC,D2019354PEC12,,1,"BARGER, ALEC",R,03/24/98,MR5,,,,,,,,,,681897,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
FA,"D2018056BGK02
D2024265OSC09",,6,"BARLEY, JORDY ",R,12/03/99,MR5,,,,,,,,,,672357,,,,,0.00,6,0.00,,,,,,,
FA,D2018514MOR18,,1,"BARLOW, JOE ",R,09/28/95,UFA,," $740,000 ",,,,,,,,669618,,,,,0.00,1,0.00,,,,,,,
FA,D2012162LEL05,,1,"BARLOW, SCOTT",R,12/18/92,UFA,," $740,000 ",0.00,0.10,1,72,,,,605130,,,,,0.00,1,0.10,,,,,,,
FA,D2012418ALC14,,2,"BARNES, AUSTIN",R,12/28/89,UFA,," $740,000 ",0.50,-0.30,,,44,,,605131,,,,,46.00,2,-0.30,,,,,,,
FA,D2018232PSD08,,0,"BARNES, CHARLIE ",L,10/01/95,UFA,," $740,000 ",,,,,,,,656212,,,,,0.00,0,0.00,,,,,,,
OSC,D2012459ALD15,RELEASE,1,"BARNES, JACOB",R,04/14/90,FA26,," $3,050,000 ",0.00,0.00,0,8,,,,606930,RELEASE,," $3,050,000 ",,0.00,1,0.00,,,,,,,
FA,D2012019MER01,,1,"BARNES, MATT",R,06/17/90,UFA,," $740,000 ",0.10,,,,,,,598264,,,,,0.00,1,0.00,,,,,,,
WBR,D2023168WBR06,,0,"BARNETT, MASON",R,11/07/00,O,," $740,000 ",,0.20,5,23,,OAA 05,23.40,686930,KEEP,," $740,000 ",,0.00,0,0.20,,,,,,,
CHH,D2025326CHH11,,8,"BARNETT, SEAN",R/R,06/22/03,M2,,,,,,,,SDN 29,1.69,826141,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2021053BRB02,,0,"BARNHART, HUNTER",,02/14/02,M5,,,,,,,,,,694379,,,,,0.00,0,0.00,,,,,,,
FA,D2010CS117,,2,"BARNHART, TUCKER",B,01/07/91,UFA,," $740,000 ",-0.40,0.00,,,14,,,571466,,,,,15.00,2,0.00,,,,,,,
MUN,D2024172BRM06,,6,"BARO, BOSTON",L,08/23/04,M3,,,,,,,,NYN 13,19.29,805951,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2021177MOR07,,1,"BARO, HEISELL",,02/20/02,M5,,,,,,,,,,683426,,,,,0.00,1,0.00,,,,,,,
FA,D2022507SPI17,,5,"BARR, COLE",R,05/23/98,M3,,,,,,,,,,685297,,,,,0.00,5,0.00,,,,,,,
FA,D2013414SLB13,,1,"BARRACLOUGH, KYLE",R,05/23/90,UFA,," $740,000 ",,,,,,,,607457,,,,,0.00,1,0.00,,,,,,,
FA,D2024709SHC25,,0,"BARRAZA, CHRIS",R,12/03/99,M2,,,,,,,,,,696511,,,,,0.00,0,0.00,,,,,,,
FA,D2013528SGP17,,2,"BARRAZA, JOSE",L,07/28/94,MR5,,,,,,,,,,622186,,,,,0.00,2,0.00,,,,,,,
FA,D2014389LBC13,,8,"BARRERA, LUIS",L,11/15/95,UFA,," $740,000 ",,,,,,,,642456,,,,,0.00,8,0.00,,,,,,,
